#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 02 09 21 10 320  4.0  4.0   1.1    MM   7.4 259 1021.7  15.2  14.2    MM   MM   MM    MM
2023 02 09 21 00 320  4.0  5.0    MM    MM    MM  MM 1021.8  15.1  14.2    MM   MM -1.1    MM
2023 02 09 20 50 330  4.0  5.0   1.2    12   7.6 262 1021.9  14.9  14.3    MM   MM   MM    MM
2023 02 09 20 40 320  4.0  4.0    MM    MM    MM  MM 1021.9  14.8  14.3    MM   MM   MM    MM
2023 02 09 20 30 340  3.0  4.0    MM    MM    MM  MM 1022.0  14.9  14.4    MM   MM   MM    MM
2023 02 09 20 20 340  3.0  3.0   1.2    11   7.6 269 1022.2  14.8  14.5    MM   MM   MM    MM
2023 02 09 20 10 350  3.0  3.0   1.2    MM   7.6 269 1022.3  14.8  14.5    MM   MM   MM    MM
2023 02 09 20 00 360  2.0  3.0    MM    MM    MM  MM 1022.3  14.8  14.5    MM   MM -0.4    MM
2023 02 09 19 50  10  2.0  3.0   1.1    12   7.7 257 1022.4  14.8  14.6    MM   MM   MM    MM
2023 02 09 19 40  20  2.0  2.0    MM    MM    MM  MM 1022.5  14.9  14.6    MM   MM   MM    MM
2023 02 09 19 30  40  2.0  2.0    MM    MM    MM  MM 1022.6  15.0  14.6    MM   MM   MM    MM
2023 02 09 19 20  40  1.0  2.0   1.1    12   7.7 269 1022.7  15.0  14.5    MM   MM   MM    MM
2023 02 09 19 10  40  2.0  2.0   1.1    MM   7.7 269 1022.7  15.1  14.4    MM   MM   MM    MM
2023 02 09 19 00  50  1.0  2.0    MM    MM    MM  MM 1022.7  15.2  14.3    MM   MM +0.4    MM
2023 02 09 18 50  80  1.0  2.0   1.2    13   7.9 276 1022.8  15.2  14.2    MM   MM   MM    MM
2023 02 09 18 40 100  1.0  2.0    MM    MM    MM  MM 1022.8  15.2  14.1    MM   MM   MM    MM
2023 02 09 18 30 100  1.0  2.0    MM    MM    MM  MM 1022.8  15.3  14.0    MM   MM   MM    MM
2023 02 09 18 20 120  2.0  3.0   1.1    11   7.7 273 1022.8  15.2  14.0    MM   MM   MM    MM
2023 02 09 18 10 120  2.0  2.0    MM    MM    MM  MM 1022.8  15.2  14.0    MM   MM   MM    MM
2023 02 09 18 00 150  2.0  3.0    MM    MM    MM  MM 1022.9  15.1  13.9    MM   MM +1.1    MM
2023 02 09 17 50 150  2.0  2.0   1.1    12   7.3 268 1022.8  15.2  13.8    MM   MM   MM    MM
2023 02 09 17 40 150  2.0  2.0   1.1    MM   7.3 268 1022.8  15.5  13.7    MM   MM   MM    MM
2023 02 09 17 30 120  1.0  2.0    MM    MM    MM  MM 1022.7  15.4  13.7    MM   MM   MM    MM
2023 02 09 17 20  MM  0.0  1.0   1.1    12   7.7 275 1022.6  15.1  13.7    MM   MM   MM    MM
2023 02 09 17 10  60  1.0  2.0   1.1    MM   7.7 275 1022.8  14.8  13.6    MM   MM   MM    MM
2023 02 09 17 00  10  1.0  1.0    MM    MM    MM  MM 1022.7  14.7  13.6    MM   MM +1.3    MM
2023 02 09 16 50  MM  0.0  1.0   1.1    12   7.5 273 1022.7  14.7  13.6    MM   MM   MM    MM
2023 02 09 16 40  MM  0.0  1.0    MM    MM    MM  MM 1022.4  15.0  13.6    MM   MM   MM    MM
2023 02 09 16 30  MM  0.0  1.0    MM    MM    MM  MM 1022.4  14.6  13.6    MM   MM   MM    MM
2023 02 09 16 20  50  1.0  2.0   1.2    16   7.8 257 1022.3  14.4  13.6    MM   MM   MM    MM
2023 02 09 16 10  MM  0.0  2.0   1.2    MM   7.8 257 1022.3  14.8  13.6    MM   MM   MM    MM
2023 02 09 16 00  MM  0.0  1.0    MM    MM    MM  MM 1022.2  14.4  13.6    MM   MM +1.2    MM
2023 02 09 15 50  MM  0.0  1.0   1.3    12   7.9 278 1022.2  14.0  13.6    MM   MM   MM    MM
2023 02 09 15 40  MM  0.0  1.0    MM    MM    MM  MM 1022.2  13.8  13.6    MM   MM   MM    MM
2023 02 09 15 30  MM  0.0  1.0    MM    MM    MM  MM 1022.0  13.5  13.6    MM   MM   MM    MM
2023 02 09 15 20  MM  0.0  1.0   1.1    11   7.4 273 1021.9  13.4  13.6    MM   MM   MM    MM
2023 02 09 15 10  70  1.0  2.0   1.1    MM   7.4 273 1021.9  13.2  13.6    MM   MM   MM    MM
2023 02 09 15 00  60  2.0  3.0    MM    MM    MM  MM 1021.8  13.1  13.6    MM   MM +0.8    MM
2023 02 09 14 50  50  2.0  2.0   1.3    13   7.8 269 1021.7  13.1  13.6    MM   MM   MM    MM
2023 02 09 14 40  40  1.0  2.0    MM    MM    MM  MM 1021.7  13.2  13.6    MM   MM   MM    MM
2023 02 09 14 30  MM  0.0  2.0    MM    MM    MM  MM 1021.6  13.1  13.6    MM   MM   MM    MM
2023 02 09 14 20  60  1.0  2.0   1.3    16   8.1 274 1021.6  13.1  13.6    MM   MM   MM    MM
2023 02 09 14 10  MM  0.0  1.0   1.3    MM   8.1 274 1021.6  13.1  13.6    MM   MM   MM    MM
2023 02 09 14 00  50  1.0  2.0    MM    MM    MM  MM 1021.5  13.2  13.6    MM   MM +0.3    MM
2023 02 09 13 50 110  1.0  3.0   1.1    13   7.1 268 1021.5  13.2  13.6    MM   MM   MM    MM
2023 02 09 13 40  MM  0.0  2.0    MM    MM    MM  MM 1021.3  13.1  13.6    MM   MM   MM    MM
2023 02 09 13 30  MM  0.0  2.0    MM    MM    MM  MM 1021.4  13.1  13.6    MM   MM   MM    MM
2023 02 09 13 20  MM  0.0  0.0   1.1    12   7.1 278 1021.4  13.1  13.6    MM   MM   MM    MM
2023 02 09 13 10  MM  0.0  1.0   1.1    MM   7.1 278 1021.4  13.1  13.6    MM   MM   MM    MM
2023 02 09 13 00  MM  0.0  1.0    MM    MM    MM  MM 1021.2  13.1  13.6    MM   MM +0.0    MM
2023 02 09 12 50  MM  0.0  1.0   1.1    14   6.9 272 1021.2  13.3  13.6    MM   MM   MM    MM
2023 02 09 12 40 140  1.0  2.0   1.1    MM   6.9 272 1021.2  13.3  13.6    MM   MM   MM    MM
2023 02 09 12 30 180  1.0  2.0    MM    MM    MM  MM 1021.1  13.4  13.6    MM   MM   MM    MM
2023 02 09 12 20 160  1.0  2.0   1.1    12   7.5 266 1021.1  13.5  13.7    MM   MM   MM    MM
2023 02 09 12 10 180  2.0  3.0   1.1    MM   7.5 266 1021.1  13.6  13.6    MM   MM   MM    MM
2023 02 09 12 00 120  2.0  4.0    MM    MM    MM  MM 1021.0  13.5  13.6    MM   MM -0.4    MM
2023 02 09 11 50  90  3.0  5.0   1.3    12   7.8 279 1020.9  13.2  13.7    MM   MM   MM    MM
2023 02 09 11 40  90  2.0  3.0    MM    MM    MM  MM 1021.0  13.3  13.7    MM   MM   MM    MM
2023 02 09 11 30  90  1.0  3.0    MM    MM    MM  MM 1021.1  13.4  13.6    MM   MM   MM    MM
2023 02 09 11 20  70  2.0  4.0   1.1    14   7.3 274 1021.2  13.5  13.7    MM   MM   MM    MM
2023 02 09 11 10  70  3.0  4.0    MM    MM    MM  MM 1021.1  13.5  13.7    MM   MM   MM    MM
2023 02 09 11 00  80  2.0  3.0    MM    MM    MM  MM 1021.2  13.5  13.7    MM   MM -0.7    MM
2023 02 09 10 50  60  2.0  3.0   1.2    13   7.2 271 1021.3  13.5  13.7    MM   MM   MM    MM
2023 02 09 10 40  70  2.0  3.0    MM    MM    MM  MM 1021.2  13.4  13.7    MM   MM   MM    MM
2023 02 09 10 30  60  1.0  2.0    MM    MM    MM  MM 1021.4  13.4  13.6    MM   MM   MM    MM
2023 02 09 10 20  50  2.0  3.0   1.3    13   7.8 271 1021.3  13.3  13.6    MM   MM   MM    MM
2023 02 09 10 10  20  1.0  2.0    MM    MM    MM  MM 1021.3  13.3  13.6    MM   MM   MM    MM
2023 02 09 10 00  40  1.0  3.0    MM    MM    MM  MM 1021.3  13.3  13.6    MM   MM -0.5    MM
2023 02 09 09 50  MM  0.0  1.0   1.1    13   7.4 277 1021.4  13.3  13.6    MM   MM   MM    MM
2023 02 09 09 40 230  1.0  1.0    MM    MM    MM  MM 1021.4  13.4  13.6    MM   MM   MM    MM
2023 02 09 09 30 210  1.0  2.0    MM    MM    MM  MM 1021.5  13.3  13.6    MM   MM   MM    MM
2023 02 09 09 20 240  1.0  3.0   1.2    12   7.4 268 1021.5  13.3  13.6    MM   MM   MM    MM
2023 02 09 09 10 210  2.0  3.0    MM    MM    MM  MM 1021.5  13.4  13.6    MM   MM   MM    MM
2023 02 09 09 00 110  2.0  3.0    MM    MM    MM  MM 1021.5  13.5  13.6    MM   MM -0.4    MM
2023 02 09 08 50  70  2.0  3.0   1.1    12   6.9 271 1021.5  13.5  13.6    MM   MM   MM    MM
2023 02 09 08 40  60  1.0  2.0    MM    MM    MM  MM 1021.5  13.5  13.6    MM   MM   MM    MM
2023 02 09 08 30  50  1.0  2.0    MM    MM    MM  MM 1021.7  13.5  13.6    MM   MM   MM    MM
2023 02 09 08 20  50  1.0  2.0   1.1    16   7.1 276 1021.8  13.5  13.6    MM   MM   MM    MM
2023 02 09 08 10  MM  0.0  1.0   1.1    MM   7.1 276 1021.8  13.5  13.6    MM   MM   MM    MM
2023 02 09 08 00  MM  0.0  1.0    MM    MM    MM  MM 1021.9  13.6  13.6    MM   MM +0.0    MM
2023 02 09 07 50 210  1.0  1.0   1.1    13   6.8 266 1021.8  13.7  13.6    MM   MM   MM    MM
2023 02 09 07 40 130  1.0  2.0    MM    MM    MM  MM 1021.9  13.7  13.6    MM   MM   MM    MM
2023 02 09 07 30  MM  0.0  2.0    MM    MM    MM  MM 1021.9  13.9  13.6    MM   MM   MM    MM
2023 02 09 07 20 230  1.0  2.0   1.1    17   6.4 259 1021.9  13.9  13.6    MM   MM   MM    MM
2023 02 09 07 10 270  1.0  2.0   1.1    MM   6.4 259 1021.9  13.8  13.7    MM   MM   MM    MM
2023 02 09 07 00 270  1.0  1.0    MM    MM    MM  MM 1021.8  13.8  13.7    MM   MM +0.0    MM
2023 02 09 06 50 190  1.0  2.0   1.1    13   6.5 268 1021.7  13.9  13.7    MM   MM   MM    MM
2023 02 09 06 40 170  1.0  2.0    MM    MM    MM  MM 1021.7  14.1  13.7    MM   MM   MM    MM
2023 02 09 06 30 220  1.0  2.0    MM    MM    MM  MM 1021.7  14.4  13.7    MM   MM   MM    MM
2023 02 09 06 20 280  1.0  2.0   1.1    14   6.4 262 1021.7  14.3  13.7    MM   MM   MM    MM
2023 02 09 06 10 260  2.0  3.0   1.1    MM   6.4 262 1021.8  14.4  13.7    MM   MM   MM    MM
2023 02 09 06 00 250  2.0  3.0    MM    MM    MM  MM 1021.9  14.4  13.7    MM   MM -0.0    MM
2023 02 09 05 50 240  2.0  3.0   1.3    11   7.0 278 1021.8  14.4  13.7    MM   MM   MM    MM
2023 02 09 05 40 250  3.0  4.0    MM    MM    MM  MM 1021.8  14.4  13.7    MM   MM   MM    MM
2023 02 09 05 30 240  3.0  4.0    MM    MM    MM  MM 1021.7  14.3  13.7    MM   MM   MM    MM
2023 02 09 05 20 240  3.0  5.0   1.4    11   7.1 271 1021.8  14.8  13.7    MM   MM   MM    MM
2023 02 09 05 10 270  4.0  5.0   1.4    MM   7.1 271 1021.8  14.9  13.7    MM   MM   MM    MM
2023 02 09 05 00 250  4.0  5.0    MM    MM    MM  MM 1021.9  14.6  13.7    MM   MM +0.0    MM
2023 02 09 04 50 230  4.0  6.0   1.3    13   6.6 274 1021.8  13.8  13.7    MM   MM   MM    MM
2023 02 09 04 40 220  3.0  5.0    MM    MM    MM  MM 1021.8  13.8  13.7    MM   MM   MM    MM
2023 02 09 04 30 200  2.0  3.0    MM    MM    MM  MM 1021.9  14.0  13.7    MM   MM   MM    MM
2023 02 09 04 20 240  3.0  5.0   1.3    13   6.7 273 1021.9  14.0  13.7    MM   MM   MM    MM
2023 02 09 04 10 270  5.0  6.0    MM    MM    MM  MM 1021.8  14.0  13.7    MM   MM   MM    MM
2023 02 09 04 00 260  4.0  6.0    MM    MM    MM  MM 1021.7  13.9  13.7    MM   MM -0.4    MM
2023 02 09 03 50 270  4.0  5.0   1.1    14   6.3 270 1021.7  13.9  13.7    MM   MM   MM    MM
2023 02 09 03 40 280  4.0  5.0    MM    MM    MM  MM 1021.8  13.9  13.7    MM   MM   MM    MM
2023 02 09 03 30 280  3.0  5.0    MM    MM    MM  MM 1021.8  13.9  13.8    MM   MM   MM    MM
2023 02 09 03 20 270  4.0  5.0   1.1    13   5.9 270 1021.9  13.9  13.8    MM   MM   MM    MM
2023 02 09 03 10 250  3.0  4.0   1.1    MM   5.9 270 1021.9  13.9  13.8    MM   MM   MM    MM
2023 02 09 03 00 250  4.0  5.0    MM    MM    MM  MM 1021.9  14.0  13.8    MM   MM +0.0    MM
2023 02 09 02 50 240  5.0  6.0   1.3    13   6.4 292 1021.9  14.0  13.9    MM   MM   MM    MM
2023 02 09 02 40 240  5.0  6.0    MM    MM    MM  MM 1021.8  14.0  13.9    MM   MM   MM    MM
2023 02 09 02 30 240  4.0  6.0    MM    MM    MM  MM 1021.8  14.0  13.9    MM   MM   MM    MM
2023 02 09 02 20 240  5.0  7.0   1.2    11   6.1 279 1021.8  14.1  13.8    MM   MM   MM    MM
2023 02 09 02 10 240  5.0  6.0    MM    MM    MM  MM 1021.8  14.1  13.9    MM   MM   MM    MM
2023 02 09 02 00 240  5.0  6.0    MM    MM    MM  MM 1021.9  14.0  13.9    MM   MM -0.7    MM
2023 02 09 01 50 230  5.0  6.0   1.3    13   6.8 277 1021.9  14.0  13.9    MM   MM   MM    MM
2023 02 09 01 40 230  5.0  6.0    MM    MM    MM  MM 1021.9  14.0  14.0    MM   MM   MM    MM
2023 02 09 01 30 220  5.0  6.0    MM    MM    MM  MM 1021.9  14.1  14.0    MM   MM   MM    MM
2023 02 09 01 20 230  4.0  5.0   1.2    13   7.1 286 1021.9  14.2  14.1    MM   MM   MM    MM
2023 02 09 01 10 230  4.0  5.0   1.2    MM   7.1 286 1022.1  14.3  14.1    MM   MM   MM    MM
2023 02 09 01 00 220  3.0  4.0    MM    MM    MM  MM 1022.0  14.5  14.2    MM   MM -0.6    MM
2023 02 09 00 50 250  3.0  4.0   1.1    12   7.5 267 1022.0  14.6  14.2    MM   MM   MM    MM
2023 02 09 00 40 250  4.0  4.0    MM    MM    MM  MM 1022.0  14.7  14.2    MM   MM   MM    MM
2023 02 09 00 30 260  4.0  5.0    MM    MM    MM  MM 1022.0  14.8  14.3    MM   MM   MM    MM
2023 02 09 00 20 260  4.0  5.0   1.1    13   7.5 278 1022.1  14.8  14.4    MM   MM   MM    MM
2023 02 09 00 10 270  4.0  5.0    MM    MM    MM  MM 1022.1  15.0  14.4    MM   MM   MM    MM
2023 02 09 00 00 270  4.0  5.0    MM    MM    MM  MM 1022.1  15.2  14.4    MM   MM -1.2    MM
2023 02 08 23 50 260  4.0  5.0   1.1    13   7.8 276 1022.2  15.2  14.5    MM   MM   MM    MM
2023 02 08 23 40 250  3.0  4.0    MM    MM    MM  MM 1022.2  15.1  14.5    MM   MM   MM    MM
2023 02 08 23 30 240  3.0  4.0    MM    MM    MM  MM 1022.2  15.0  14.5    MM   MM   MM    MM
2023 02 08 23 20 240  3.0  3.0   1.2    13   7.9 278 1022.2  15.0  14.5    MM   MM   MM    MM
2023 02 08 23 10 250  3.0  4.0    MM    MM    MM  MM 1022.2  14.9  14.6    MM   MM   MM    MM
2023 02 08 23 00 240  3.0  4.0    MM    MM    MM  MM 1022.3  14.8  14.8    MM   MM -2.0    MM
2023 02 08 22 50 240  3.0  3.0   1.1    13   7.6 281 1022.5  14.8  14.8    MM   MM   MM    MM
2023 02 08 22 40 230  3.0  4.0    MM    MM    MM  MM 1022.5  14.8  14.9    MM   MM   MM    MM
2023 02 08 22 30 240  3.0  4.0    MM    MM    MM  MM 1022.5  14.7  14.8    MM   MM   MM    MM
2023 02 08 22 20 250  3.0  3.0   1.1    13   7.4 271 1022.5  14.7  14.7    MM   MM   MM    MM
2023 02 08 22 10 260  3.0  4.0   1.1    MM   7.4 271 1022.6  14.7  14.7    MM   MM   MM    MM
2023 02 08 22 00 250  3.0  3.0    MM    MM    MM  MM 1022.6  14.7  14.7    MM   MM -2.3    MM
2023 02 08 21 50 250  3.0  3.0   1.1    12   7.2 275 1022.7  14.7  14.6    MM   MM   MM    MM
2023 02 08 21 40 250  3.0  4.0    MM    MM    MM  MM 1022.7  14.7  14.7    MM   MM   MM    MM
2023 02 08 21 30 240  3.0  3.0    MM    MM    MM  MM 1022.8  14.7  14.8    MM   MM   MM    MM
2023 02 08 21 20 240  3.0  4.0   1.1    14   7.1 281 1022.9  14.6  14.7    MM   MM   MM    MM
2023 02 08 21 10 230  3.0  3.0   1.1    MM   7.1 281 1023.2  14.6  14.7    MM   MM   MM    MM
2023 02 08 21 00 240  3.0  4.0    MM    MM    MM  MM 1023.3  14.6  14.5    MM   MM -1.4    MM
2023 02 08 20 50 240  2.0  3.0   1.0    14   6.7 269 1023.5  14.5  14.4    MM   MM   MM    MM
2023 02 08 20 40 250  2.0  3.0    MM    MM    MM  MM 1023.6  14.5  14.1    MM   MM   MM    MM
2023 02 08 20 30 260  2.0  3.0    MM    MM    MM  MM 1023.8  14.4  14.1    MM   MM   MM    MM
2023 02 08 20 20 260  2.0  2.0   1.1    11   7.0 274 1024.0  14.4  14.1    MM   MM   MM    MM
2023 02 08 20 10 270  2.0  3.0   1.1    MM   7.0 274 1024.2  14.4  14.1    MM   MM   MM    MM
2023 02 08 20 00 260  1.0  2.0    MM    MM    MM  MM 1024.4  14.4  14.2    MM   MM +0.0    MM
2023 02 08 19 50 270  1.0  2.0   1.1    10   7.1 271 1024.4  14.4  14.1    MM   MM   MM    MM
2023 02 08 19 40 290  1.0  2.0    MM    MM    MM  MM 1024.6  14.3  14.1    MM   MM   MM    MM
2023 02 08 19 30  MM  0.0  2.0    MM    MM    MM  MM 1024.7  14.4  14.1    MM   MM   MM    MM
2023 02 08 19 20  MM  0.0  1.0   1.1    11   6.9 280 1024.7  14.1  14.0    MM   MM   MM    MM
2023 02 08 19 10 360  1.0  2.0   1.1    MM   6.9 280 1024.7  13.8  13.8    MM   MM   MM    MM
2023 02 08 19 00 360  1.0  2.0    MM    MM    MM  MM 1024.8  13.8  13.9    MM   MM +1.1    MM
2023 02 08 18 50 360  1.0  2.0   1.0    11   6.9 271 1024.9  14.0  13.9    MM   MM   MM    MM
2023 02 08 18 40  20  1.0  1.0   1.0    MM   6.9 271 1024.9  14.1  13.9    MM   MM   MM    MM
2023 02 08 18 30  10  1.0  1.0    MM    MM    MM  MM 1024.9  14.1  13.9    MM   MM   MM    MM
2023 02 08 18 20  MM  0.0  1.0   1.1    11   6.9 277 1024.9  14.2  13.8    MM   MM   MM    MM
2023 02 08 18 10  MM  0.0  1.0   1.1    MM   6.9 277 1024.7  14.1  13.7    MM   MM   MM    MM
2023 02 08 18 00  70  1.0  2.0    MM    MM    MM  MM 1024.7  14.0  13.6    MM   MM +1.0    MM
2023 02 08 17 50  30  1.0  2.0   1.1    13   6.9 278 1024.7  13.7  13.6    MM   MM   MM    MM
2023 02 08 17 40  40  1.0  2.0    MM    MM    MM  MM 1024.7  13.6  13.6    MM   MM   MM    MM
2023 02 08 17 30  40  2.0  3.0    MM    MM    MM  MM 1024.6  13.5  13.6    MM   MM   MM    MM
2023 02 08 17 20  30  2.0  3.0   1.1    10   6.7 275 1024.5  13.5  13.6    MM   MM   MM    MM
2023 02 08 17 10  30  2.0  3.0   1.1    MM   6.7 275 1024.5  13.5  13.6    MM   MM   MM    MM
2023 02 08 17 00  40  1.0  2.0    MM    MM    MM  MM 1024.4  13.6  13.6    MM   MM +1.4    MM
2023 02 08 16 50  20  1.0  1.0   1.1    11   7.0 269 1024.2  13.6  13.6    MM   MM   MM    MM
2023 02 08 16 40  20  1.0  2.0    MM    MM    MM  MM 1024.2  13.5  13.6    MM   MM   MM    MM
2023 02 08 16 30 360  2.0  2.0    MM    MM    MM  MM 1024.2  13.4  13.6    MM   MM   MM    MM
2023 02 08 16 20 360  2.0  2.0   1.0    11   6.7 261 1024.1  13.4  13.6    MM   MM   MM    MM
2023 02 08 16 10  10  2.0  2.0    MM    MM    MM  MM 1023.9  13.4  13.6    MM   MM   MM    MM
2023 02 08 16 00  10  2.0  2.0    MM    MM    MM  MM 1023.8  13.4  13.6    MM   MM +1.3    MM
2023 02 08 15 50 360  2.0  3.0   1.1    11   6.8 265 1023.8  13.2  13.6    MM   MM   MM    MM
2023 02 08 15 40 340  3.0  4.0    MM    MM    MM  MM 1023.8  13.1  13.5    MM   MM   MM    MM
2023 02 08 15 30 340  3.0  3.0    MM    MM    MM  MM 1023.7  13.1  13.5    MM   MM   MM    MM
2023 02 08 15 20 300  1.0  2.0   1.1    11   6.7 280 1023.6  13.1  13.5    MM   MM   MM    MM
2023 02 08 15 10 260  1.0  2.0   1.1    MM   6.7 280 1023.6  13.0  13.6    MM   MM   MM    MM
